,name,author,narrator,release_date,language,stars,price,duration_sec,raters
81,The Vanishing Statue,Carolyn Keene,Jorjeana Marie,2020-06-16,English,5.0,305.0,14700,6
82,Eye of the Earthquake Dragon,Tracey West,Emily Ellet,2020-08-04,English,5.0,164.0,2700,1
83,Peril at Granite Peak,Franklin W Dixon,Tim Gregory,2016-01-21,English,5.0,305.0,12600,3
84,The Disappearance of Emily Downs,C J Redwine,Mia Sinclair Jenness,2021-09-30,English,5.0,1003.0,17760,1
85,Into Thin Air,Franklin W Dixon,Tim Gregory,2016-01-21,English,5.0,305.0,9540,10
86,Once upon a Thriller,Carolyn Keene,Jorjeana Marie,2015-09-24,English,5.0,305.0,8460,12
87,The Magician's Nephew,C S Lewis,Kenneth Branagh,2005-08-29,English,5.0,303.0,14100,7
88,The Snail and the Whale,Julia Donaldson,Imelda Staunton,2008-10-07,English,5.0,323.0,1380,5
89,Tigers for Dinner,Ruskin Bond,Adnan Kapadia,2017-01-01,English,4.5,284.0,2340,20
90,The Hidden Kingdom,Tui T Sutherland,Shannon Mc Manus,2016-07-01,English,5.0,575.0,27240,9
91,Eagle Strike,Anthony Horowitz,Oliver Chris,2021-05-20,English,5.0,569.0,25020,2
92,Mystery on the Mayhem Express,Franklin W Dixon,Tim Gregory,2021-06-22,English,5.0,305.0,14280,1
93,Tunnel of Secrets,Franklin W Dixon,Tim Gregory,2015-11-02,English,5.0,305.0,10980,3
94,"The 39 Clues: Unstoppable, Book 3",Natalie Standiford,David Pittu,2014-05-01,English,4.5,410.0,17340,2
95,Treasure Island,Robert Louis Stevenson,Sam Taylor,2019-09-06,English,4.0,32.0,24240,4
96,Minecraft: The Dragon,Nicky Drayden,Nicole Lewis,2021-07-06,English,5.0,1005.0,24660,1
97,Escape from Falaise,John Flanagan,John Keating,2021-12-01,English,4.5,797.0,27420,2
98,Trapped in the Overworld,Winter Morgan,Nicol Zanzarella,2016-06-30,English,5.0,233.0,6840,3
99,The 143-Storey Treehouse,Andy Griffiths Terry Denton,Stig Wemyss,2021-10-19,English,5.0,323.0,6000,1
100,Poison Jungle,Tui T Sutherland,Shannon Mc Manus,2019-07-30,English,5.0,656.0,26700,10
101,39 Clues: Cahills vs. Vespers,Gordon Korman,David Pittu,2011-08-30,English,5.0,586.0,19320,5
102,The Last Kids on Earth: June's Wild Flight,Max Brallier Douglas Holgate,Montse Hernandez,2020-04-07,English,5.0,754.0,11760,3
103,Captain Underpants and the Terrifying Return of Tippy Tinkletrousers,Dav Pilkey,Len Forgione Winston Bromhead I Mitchell,2021-04-02,English,5.0,492.0,9540,5
104,Star Wars: The High Republic: A Test of Courage,Justina Ireland,Keylor Leigh,2021-01-05,English,4.0,754.0,16440,2
105,The Red Slippers,Carolyn Keene,Jorjeana Marie,2015-12-24,English,5.0,305.0,10380,9
106,Captain Underpants and the Preposterous Plight of the Purple Potty People,Dav Pilkey,Len Forgione Winston Bromhead I Mitchell,2021-01-19,English,5.0,258.0,4500,1
107,The Magician's Secret,Carolyn Keene,Jorjeana Marie,2015-12-24,English,4.5,305.0,9720,7
108,The Case of the Bizarre Bouquets,Nancy Springer,Katherine Kellgren,2008-04-11,English,4.5,609.0,13140,3
109,The Phantom of Nantucket,Carolyn Keene,Jorjeana Marie,2015-12-24,English,5.0,305.0,11760,5
110,The Swamp Robber,Paul Hutchens,Aimee Lilly,2018-09-18,English,5.0,234.0,9840,1
111,The Magic Finger,Roald Dahl,Kate Winslet,2014-09-11,English,4.5,615.0,1560,14
112,The Adventures of Captain Underpants,Dav Pilkey,Len Forgione Dazjon Freeman Ben D Amico,2018-05-22,English,4.5,258.0,3600,13
113,Secret at Mystic Lake,Carolyn Keene,Jorjeana Marie,2015-09-28,English,4.5,305.0,9360,14
114,"I Survived the Sinking of the Titanic, 1912",Lauren Tarshis,Lauren Fortgang,2016-03-29,English,5.0,187.0,4560,1
115,Showdown at Widow Creek,Franklin W Dixon,Tim Gregory,2016-02-02,English,5.0,305.0,9960,3
116,Case of the Missing Marquess,Nancy Springer,Katherine Kellgren,2008-10-22,English,4.5,726.0,16260,3
117,Nightshade,Anthony Horowitz,Rupert Degas,2020-05-28,English,4.5,645.0,36420,11
118,Mystery of the Phantom Heist,Franklin W Dixon,Tim Gregory,2015-11-02,English,5.0,305.0,10740,6
119,The Golem's Eye,Jonathan Stroud,Steven Pacey,2007-06-01,English,5.0,683.0,34560,7
120,Howl of the Wind Dragon,Tracey West,Emily Ellet,2021-11-02,English,5.0,258.0,2820,1
121,Pony,R J Palacio,Ian M Hawkins R J Palacio,2021-09-28,English,4.0,615.0,25980,1
122,Sparrow Rising,Jessica Khoury,Michael Gallagher Emily Eiden,2021-08-03,English,5.0,586.0,29460,1
123,The Beatryce Prophecy,Kate Di Camillo,Finty Williams,2021-09-28,English,4.0,1005.0,15540,1
124,The Unadoptables,Hana Tooke,Gemma Whelan,2020-07-23,English,5.0,615.0,34020,1
125,The Professor and the Puzzle,Carolyn Keene,Jorjeana Marie,2017-09-01,English,5.0,305.0,13260,7
126,"The 39 Clues, Book 5",Patrick Carman,David Pittu,2009-08-11,English,5.0,468.0,14400,8
127,Scorpia,Anthony Horowitz,Oliver Chris,2020-01-30,English,4.5,645.0,30360,2
128,A Con Artist in Paris,Franklin W Dixon,Tim Gregory,2017-09-05,English,4.5,305.0,10800,4
129,Tunnel of Bones,Victoria Schwab,Reba Buhr,2019-09-03,English,4.5,492.0,18300,8
130,The 13-Storey Treehouse,Andy Griffiths,Stig Wemyss,2017-05-10,English,5.0,323.0,5760,1
131,"The 39 Clues, Book 9",Linda Sue Park,David Pittu,2010-05-24,English,5.0,469.0,17100,7
132,Kid Normal and the Rogue Heroes,Chris Smith Greg James,Chris Smith Greg James,2018-12-06,English,5.0,569.0,22680,5
133,Treasure of the Gold Dragon,Tracey West,Emily Ellet,2020-08-04,English,4.0,164.0,2700,1
134,"The 1,000-Year-Old Boy",Ross Welford,Chris Coxon Luke Johnson,2018-01-11,English,4.5,322.0,26640,11
135,Strangers on a Train,Carolyn Keene,Jorjeana Marie,2014-12-28,English,4.5,305.0,11940,17
136,Darkstalker,Tui T Sutherland,Shannon Mc Manus,2016-07-01,English,5.0,656.0,35400,11
137,Dinosaurs Before Dark,Mary Pope Osborne,Mary Pope Osborne,2006-08-22,English,5.0,301.0,2460,1
138,The Monkey King,Shobha Viswanath,Saeed Jaffrey,2020-03-06,English,5.0,284.0,1620,4
139,Getting Granny’s Glasses,Ruskin Bond,Ruskin Bond,2019-11-29,English,4.0,200.0,1140,4
140,Where the Red Fern Grows,Wilson Rawls,Anthony Heald,2003-10-24,English,4.5,1005.0,24960,7
141,"The 39 Clues, Book 10",Margaret Peterson Haddix,David Pittu,2010-09-23,English,5.0,469.0,25680,7
142,"Captain Underpants and the Big, Bad Battle of the Bionic Booger Boy, Part 2",Dav Pilkey,Len Forgione Ben D Amico I Mitchell,2020-11-03,English,4.0,258.0,4980,1
143,The Carpet People,Terry Pratchett,David Tennant,2021-04-22,English,5.0,615.0,18120,1
144,Clash at Fatal Fields,Devin Hunter,Ramonde Ocampo,2018-08-28,English,5.0,585.0,7980,1
145,Deception on the Set,Franklin W Dixon,Tim Gregory,2016-05-23,English,5.0,305.0,9660,4
